hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-07-05,2018-07-06,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-07-07,2018-07-08,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-07-11,2018-07-12,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-07-18,2018-07-19,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-07-25,2018-07-26,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-08-01,2018-08-02,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-08-03,2018-08-04,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-08-08,2018-08-09,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-08-15,2018-08-16,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-08-22,2018-08-23,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-08-29,2018-08-30,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-09-02,2018-09-03,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
Kiwi Hotel,"1060 G. Tudtud Street, Barangay Mabolo, 6000 Cebu City, Philippines",2,7.7,2018-09-05,2018-09-06,Standard Room,"PHP 1,401.60",2,not available,0,1,1,0,0,0,1,0
