hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-06-21,2018-06-22,Studio,"₱ 1,100",2,(2.1 km from centre),0,0,0,0,0
Bahay ni Tuding - House of Tuding,"160 San Pedro St., 8000 Davao City, Philippines",2,8.4,2018-06-21,2018-06-22,Standard Single Room,"₱ 1,000",1,(200 m from centre),0,0,0,0,0
Bahay ni Tuding - House of Tuding,"160 San Pedro St., 8000 Davao City, Philippines",2,8.4,2018-06-21,2018-06-22,Deluxe Single Room,"₱ 1,380",1,(200 m from centre),0,0,0,0,0
Bahay ni Tuding - House of Tuding,"160 San Pedro St., 8000 Davao City, Philippines",2,8.4,2018-06-21,2018-06-22,Compact Double,"₱ 1,500",2,(200 m from centre),0,0,0,0,0
Bahay ni Tuding - House of Tuding,"160 San Pedro St., 8000 Davao City, Philippines",2,8.4,2018-06-21,2018-06-22,Double Room with Queen Bed,"₱ 1,800",2,(200 m from centre),0,0,0,0,0
Bahay ni Tuding - House of Tuding,"160 San Pedro St., 8000 Davao City, Philippines",2,8.4,2018-06-21,2018-06-22,Comfort Twin Room,"₱ 2,000",2,(200 m from centre),0,0,0,0,0
Bahay ni Tuding - House of Tuding,"160 San Pedro St., 8000 Davao City, Philippines",2,8.4,2018-06-21,2018-06-22,Family Room,"₱ 3,000",3,(200 m from centre),0,0,0,0,0
Hotel Vicente,"F. Torres St., 8000 Davao City, Philippines",2,8.2,2018-06-21,2018-06-22,Family Room,"₱ 2,400",3,(1.4 km from centre),0,0,0,0,0
North Garden Suites,"Buhangin Road, San Pedro Village Extension, Davao City, 8000 Davao City, Philippines",2,8.1,2018-06-21,2018-06-22,Twin Room,"₱ 1,428.57",2,(4 km from centre),0,0,0,0,0
North Garden Suites,"Buhangin Road, San Pedro Village Extension, Davao City, 8000 Davao City, Philippines",2,8.1,2018-06-21,2018-06-22,Deluxe Queen Room,"₱ 1,696.43",2,(4 km from centre),0,0,0,0,0
Home Crest Hotel,"Tulip Drive Cor. Walnut Ave. Ecoland Phase 7, 8000 Davao City, Philippines",3,7.8,2018-06-21,2018-06-22,Deluxe Room,"₱ 3,600",2,(2.5 km from centre),0,0,0,0,0
Home Crest Hotel,"Tulip Drive Cor. Walnut Ave. Ecoland Phase 7, 8000 Davao City, Philippines",3,7.8,2018-06-21,2018-06-22,Double Room,"₱ 4,800",2,(2.5 km from centre),0,0,0,0,0
Go Hotels Lanang - Davao,"Km 7 J.P. Laurel Avenue, Lanang, 8000 Davao City, Philippines",3,7.9,2018-06-21,2018-06-22,Standard Twin Room,"₱ 1,888",2,(5 km from centre),0,0,0,0,0
Blueberry Tourist Hotel,"1055 Avancena St. Corner Jacinto Extension, 8000 Davao City, Philippines",3,6.4,2018-06-21,2018-06-22,Single Room,"₱ 2,730",1,(1.6 km from centre),0,0,0,0,0
Blueberry Tourist Hotel,"1055 Avancena St. Corner Jacinto Extension, 8000 Davao City, Philippines",3,6.4,2018-06-21,2018-06-22,Deluxe Queen Room,"₱ 3,510",2,(1.6 km from centre),0,0,0,0,0
ZEN Rooms Cabaguio Avenue Davao,"Located in The Metropolis Suites Davao, Cabaguio Avenue corner Macopa Street, 8000 Davao City, Philippines",3,7.5,2018-06-21,2018-06-22,Standard Double Room,"₱ 1,868.85",2,(3.9 km from centre),1,0,0,0,0
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.7,2018-06-21,2018-06-22,Junior Suite,"₱ 2,040",2,(900 m from centre),0,0,0,0,0
Chateau del Mar,"Lizada Drive Lizada Beach Lanang , 8000 Davao City, Philippines",2,6.9,2018-06-21,2018-06-22,Executive Double or Twin Room,"₱ 3,500",2,(6 km from centre),0,0,1,0,0
Casa Leticia Boutique Hotel,"J Camus Street, , 8000 Davao City, Philippines",2,7.4,2018-06-21,2018-06-22,Deluxe Double Room,"₱ 3,150",2,(650 m from centre),0,0,0,0,0
Green Windows Dormitel,"Mount Apo Street, FTC Tower, 8000 Davao City, Philippines",2,6.9,2018-06-21,2018-06-22,Deluxe King Room,"₱ 2,000",2,(950 m from centre),0,0,0,0,0
Green Windows Dormitel,"Mount Apo Street, FTC Tower, 8000 Davao City, Philippines",2,6.9,2018-06-21,2018-06-22,Executive King Room,"₱ 2,335",2,(950 m from centre),0,0,0,0,0
Green Windows Dormitel,"Mount Apo Street, FTC Tower, 8000 Davao City, Philippines",2,6.9,2018-06-21,2018-06-22,Deluxe Twin Room,"₱ 2,468",2,(950 m from centre),0,0,0,0,0
Red Knight Gardens,"88, 8th Street, Guadalupe VIllage, Lanang, 8000 Davao City, Philippines",2,7.6,2018-06-21,2018-06-22,One-Bedroom Suite,"₱ 2,600",2,(5 km from centre),0,0,1,0,0
Sequoia Inn,"72-74 T. Monteverde Ave.,, 8000 Davao City, Philippines",2,7.2,2018-06-21,2018-06-22,Standard Single Room,"₱ 1,150",1,(1.9 km from centre),0,0,0,0,0
Sequoia Inn,"72-74 T. Monteverde Ave.,, 8000 Davao City, Philippines",2,7.2,2018-06-21,2018-06-22,Standard Double Room,"₱ 1,510",2,(1.9 km from centre),0,0,0,0,0
