hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-06-21,2018-06-22,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-06-24,2018-06-25,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-06-25,2018-06-26,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-06-27,2018-06-28,Standard Single Room,PHP 900,1,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-04,2018-07-05,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-04,2018-07-05,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-10,2018-07-11,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-15,2018-07-16,Standard Single Room,PHP 900,1,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-15,2018-07-16,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-20,2018-07-21,Standard Single Room,PHP 900,1,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-20,2018-07-21,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-25,2018-07-26,Standard Single Room,PHP 900,1,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-25,2018-07-26,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-25,2018-07-26,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-30,2018-07-31,Standard Single Room,PHP 900,1,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-30,2018-07-31,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-30,2018-07-31,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-04,2018-08-05,Standard Single Room,PHP 900,1,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-04,2018-08-05,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-04,2018-08-05,Studio,"PHP 1,100",2,(2.1 km from centre),0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-09,2018-08-10,Standard Single Room,PHP 900,1,(2.1 km from centre),0,0,0,0,0
