hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-07-08,2018-07-09,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-07-12,2018-07-13,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-07-19,2018-07-20,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-07-26,2018-07-27,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-08-02,2018-08-03,Deluxe Twin Room,"PHP 2,419.67",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-08-09,2018-08-10,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-08-16,2018-08-17,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-08-23,2018-08-24,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-08-30,2018-08-31,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-09-03,2018-09-04,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-09-06,2018-09-07,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-09-13,2018-09-14,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-09-20,2018-09-21,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-09-27,2018-09-28,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-10-03,2018-10-04,Deluxe Twin Room,"PHP 2,419.67",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-10-04,2018-10-05,Deluxe Twin Room,"PHP 2,419.67",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-10-11,2018-10-12,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-10-18,2018-10-19,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-10-25,2018-10-26,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-11-01,2018-11-02,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-11-02,2018-11-03,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-11-08,2018-11-09,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-11-15,2018-11-16,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-11-22,2018-11-23,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-11-29,2018-11-30,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-12-02,2018-12-03,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-12-06,2018-12-07,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-12-13,2018-12-14,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-12-20,2018-12-21,Deluxe Twin Room,"PHP 2,200",2,not available,0,1,1,0,1,0,1,1

The Bellavista Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,7.2,2018-12-27,2018-12-28,Deluxe Twin Room,"PHP 2,419.67",2,not available,0,1,1,0,1,0,1,1

Goldberry Suites and Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,8.3,2018-07-06,2018-07-07,Suite,"PHP 5,854.41",2,not available,0,1,1,0,0,0,0,1

Goldberry Suites and Hotel,"M.L Quezon Highway, Barangay Pusok, Lapu-Lapu City, Cebu, 6015 Mactan, Philippines",3,8.3,2018-07-08,2018-07-09,Standard Double or Twin Room,"PHP 2,966.60",2,not available,0,1,1,0,0,0,0,1

