hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-06,2018-07-07,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-08,2018-07-09,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-08,2018-07-09,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-12,2018-07-13,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-12,2018-07-13,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-19,2018-07-20,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-19,2018-07-20,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-07-26,2018-07-27,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-02,2018-08-03,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-02,2018-08-03,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-04,2018-08-05,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-04,2018-08-05,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-09,2018-08-10,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-09,2018-08-10,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-16,2018-08-17,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-16,2018-08-17,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-23,2018-08-24,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-23,2018-08-24,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-30,2018-08-31,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-08-30,2018-08-31,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-03,2018-09-04,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-03,2018-09-04,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-06,2018-09-07,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-06,2018-09-07,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-13,2018-09-14,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-13,2018-09-14,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-20,2018-09-21,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-20,2018-09-21,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-27,2018-09-28,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-09-27,2018-09-28,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-03,2018-10-04,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-03,2018-10-04,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-04,2018-10-05,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-04,2018-10-05,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-11,2018-10-12,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-11,2018-10-12,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-18,2018-10-19,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-18,2018-10-19,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-25,2018-10-26,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-10-25,2018-10-26,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-01,2018-11-02,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-01,2018-11-02,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-02,2018-11-03,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-02,2018-11-03,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-08,2018-11-09,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-08,2018-11-09,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-15,2018-11-16,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-15,2018-11-16,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-22,2018-11-23,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-22,2018-11-23,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-29,2018-11-30,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-11-29,2018-11-30,Queen Room with Shared Bathroom,"₱ 3,606.56",2,not available,0,1,1,0,0,0,0,0
The Well Hotel,"F. Ramos Street, Barangay Cogon‐Ramos, 6000 Cebu City, Philippines",2,7.7,2018-12-02,2018-12-03,Superior Twin Room,"₱ 3,245.90",2,not available,0,1,1,0,0,0,0,0
