hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-08,2018-07-09,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-12,2018-07-13,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-12,2018-07-13,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-19,2018-07-20,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-19,2018-07-20,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-26,2018-07-27,Standard Single Room,PHP 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-26,2018-07-27,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-26,2018-07-27,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-02,2018-08-03,Standard Single Room,PHP 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-02,2018-08-03,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-02,2018-08-03,Studio,"PHP 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0

