hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-09-03,2018-09-04,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-09-06,2018-09-07,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-09-13,2018-09-14,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-09-20,2018-09-21,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-10-11,2018-10-12,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-10-18,2018-10-19,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-10-25,2018-10-26,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-11-01,2018-11-02,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-11-02,2018-11-03,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-11-08,2018-11-09,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-11-15,2018-11-16,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-11-22,2018-11-23,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-11-29,2018-11-30,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-12-02,2018-12-03,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-12-06,2018-12-07,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-12-13,2018-12-14,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-12-20,2018-12-21,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
White Mansion,"14 Alaminos Street, Rolling Hills Subdivision, Bacaca Road, 8000 Davao City, Philippines",1,8.1,2018-12-27,2018-12-28,One-Bedroom Suite,"₱ 1,900",2,(3.9 km from centre),0,1,1,0,1,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-06,2018-07-07,Superior Twin Room,"₱ 2,063.10",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-06,2018-07-07,Superior Double Room,"₱ 2,339.10",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-08,2018-07-09,Superior Twin Room,"₱ 2,063.10",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-08,2018-07-09,Superior Double Room,"₱ 2,339.10",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-12,2018-07-13,Superior Twin Room,"₱ 2,063.10",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-12,2018-07-13,Superior Double Room,"₱ 2,339.10",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-26,2018-07-27,Superior Twin Room,"₱ 1,959.94",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-07-26,2018-07-27,Superior Double Room,"₱ 2,222.14",2,(5 km from centre),0,1,1,0,0,0,0,0
Sumo Asia Hotels - Davao,"Mamay Road, Barangay Alfonso Angliongto Sr.Lanang Davao City, 8000 Davao City, Philippines",2,7.9,2018-08-02,2018-08-03,Superior Twin Room,"₱ 1,959.94",2,(5 km from centre),0,1,1,0,0,0,0,0
