hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-22,2018-06-23,Single Bed in Dormitory Room,PHP 748,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-22,2018-06-23,Single Bed in Female Dormitory Room,PHP 814,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-22,2018-06-23,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-23,2018-06-24,Single Bed in Dormitory Room,PHP 616,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-23,2018-06-24,Single Bed in Female Dormitory Room,PHP 638,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-23,2018-06-24,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-25,2018-06-26,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-25,2018-06-26,Single Bed in Dormitory Room,PHP 660,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-25,2018-06-26,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-26,2018-06-27,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-26,2018-06-27,Single Bed in Dormitory Room,PHP 660,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-26,2018-06-27,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-28,2018-06-29,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-28,2018-06-29,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-06-28,2018-06-29,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-07-05,2018-07-06,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

